X,order,family,common_name,Binomial,rts,exp.testes,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
50,Rodentia,Cricetidae,Eurasian Water Vole,Arvicola_amphibius,1.074875127,1.970833585,2.1184,0.326,Hayward 2011,270,2.432,Hayward 2011,4.76,3.5,5,Capellini 2015,NA,,no,Heldstab 2019
51,Erinaceomorpha,Erinaceidae,Four-toed Hedgehog,Atelerix_albiventris,0.740291279,3.159296976,2.3388,0.369,Anderson 2004,520,2.716,Anderson 2004,3.98,1,11.4,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
52,Primates,Atelidae,Black-headed Spider Monkey,Ateles_fusciceps,0.575830979,15.80168544,9.0991,0.959,Moller 1988,4864,3.687,Moller 1988,1.01,0.5,46,Capellini 2015,promiscuous,Moller 1988,yes,Heldstab 2019
53,Primates,Atelidae,Geoffroy's Spider Monkey,Ateles_geoffroyi,0.595585539,22.49349442,13.3968,1.127,Hayward 2011,7943,3.9,Hayward 2011,1.01,0.32,48,Capellini 2015,promiscuous,Pantheria; Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
54,Rodentia,Sciuridae,Barbary Ground Squirrel,Atlantoxerus_getulus,3.784953767,1.706757968,6.46,NA,Anjos,221.1,NA,van der Marel 2021,2.9,1,5,van der Marel 2020,promiscuous,"van der Marel, pers. comm.",no,"van der Marel, pers. comm."
55,Primates,Indridae,Eastern Woolly Lemur,Avahi_laniger,0.341895627,6.110929283,2.0893,0.32,Harcourt 1995,1300,3.114,Harcourt 1995,1.01,1,NA,Capellini 2015,monogamous,Pantheria; Lukas 2013; Lukas 2012; Harcourt 1995,no,Heldstab 2019; Lukas 2019
56,Artiodactyla,Cervidae,Chital,Axis_axis,0.149875979,89.79824594,13.4586,1.129,Anderson 2004,54325,4.735,Anderson 2004,1.01,1,20.8,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
57,Artiodactyla,Cervidae,Hog Deer,Axis_porcinus,0.571862223,86.43882744,49.4311,1.694,Anderson 2004,51523,4.712,Anderson 2004,1,1,22.9,Capellini 2015,polygynous,Anderson 2004; Pantheria; Lukas 2012; Lukas 2013,no,Heldstab 2019
58,Rodentia,Muridae,Lesser Bandicoot Rat,Bandicota_bengalensis,1.024769468,2.069733796,2.121,0.327,Breed 2000,289,2.461,Breed 2000,7.29,5.9,NA,Capellini 2015,NA,,NA,
59,Rodentia,Muridae,Greater Bandicoot Rat,Bandicota_indica,0.572169663,3.556637359,2.035,0.309,Hayward 2011; Breed 2000,613,2.787,Hayward 2011; Breed 2000,6.12,5.1228,4.2,Myrhvold 2015,NA,,NA,
60,Rodentia,Muridae,Savile's Bandicoot Rat,Bandicota_savilei,0.634095836,1.991812482,1.263,0.101,Breed 2000,274,2.438,Breed 2000,NA,NA,NA,NA,NA,,NA,
