X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
513,Dasyuromorphia,Dasyuridae,Fat-tailed False Antechinus,Pseudantechinus_macdonnellensis,0.1099,-0.959,Birkhead 1998,27,1.433,Birkhead 1998,5.88,1,7,Capellini 2015,NA,,NA,NA
514,Diprotodontia,Pseudocheiridae,Common Ringtail,Pseudocheirus_peregrinus,5.42,0.734,Birkhead 1998,684,2.835,Birkhead 1998,1.89,1.5,10.1,Capellini 2015,polygynous,Pantheria; Lukas 2012; Lukas 2013; Rose 1997,NA,NA
515,Diprotodontia,Pseudocheiridae,Green Ringtail,Pseudochirops_archeri,1.2503,0.097,Birkhead 1998,478,2.679,Birkhead 1998,1.03,1.1,NA,Capellini 2015; Myrhvold 2015,NA,,NA,NA
516,Rodentia,Muridae,Shaw Mayer's Shrew Mouse,Pseudohydromys_ellermani,0.5395,-0.268,Breed 2000,18,1.255,Breed 2000,NA,NA,NA,Capellini 2015,NA,,NA,NA
517,Rodentia,Muridae,Silky Pseudomys,Pseudomys_apodemoides,0.141,-0.851,Breed 2000,25,1.491,Breed 2000,4.9,3,NA,Capellini 2015,promiscuous,Sinervo 2020,NA,
518,Rodentia,Muridae,Silky Pseudomys,Pseudomys_apodemoides,0.141,-0.851,Hayward 2011; Gage 2003,31,1.491,Hayward 2011; Gage 2003,4.9,3,NA,Capellini 2015,promiscuous,Sinervo 2020,NA,
519,Rodentia,Muridae,Plains Pseudomys,Pseudomys_australis,2.242,0.351,Hayward 2011,59,1.771,Hayward 2011,3,NA,7.9,Capellini 2015,promiscuous,Sinervo 2020,no,Heldstab 2019
520,Rodentia,Muridae,Delicate Pseudomys,Pseudomys_delicatulus,0.043,-1.367,Hayward 2011,8,0.903,Hayward 2011; Breed 2000; Gage 2003,3.19,NA,4.16,Capellini 2015; Myrhvold et al 2015,NA,,NA,
521,Rodentia,Muridae,Desert Pseudomys,Pseudomys_desertor,0.558,-0.253,Hayward 2011; Breed 2000,39,1.591,Hayward 2011; Breed 2000,3,3.91,1,Capellini 2015; Myrhvold et al 2015,promiscuous,Sinervo 2020,no,Sinervo 2020
522,Rodentia,Muridae,Smoky Pseudomys,Pseudomys_fumeus,2.426,0.385,Ramm 2007; Breed 2000,71,1.851,Ramm 2007; Breed 2000,3.5,1.5,6.5,Capellini 2015,NA,,NA,
523,Rodentia,Muridae,Eastern Chestnut Pseudomys,Pseudomys_gracilicaudatus,1.084,0.035,Hayward 2011; Breed 2000; Gage 2003,105,2.021,Hayward 2011; Breed 2000; Gage 2003,2.91,NA,NA,Capellini 2015,NA,,NA,
