X,order,family,common_name,Binomial,testes_g,log.testes.,ref_testes,BM_g,log.bm.,ref_bm,litter_size,litter_year,longevity,ref_lifehistory,mating_system,ref_mating_system,paternal_care,ref_paternal_care
1,Rodentia,Muridae,Papuan Abeomelomys,Abeomelomys_sevia,0.854,-0.069,Breed 2000,52,1.716,Breed 2000,1,NA,NA,Capellini 2015,NA,,NA,
2,Chiroptera,Pteropodidae,Golden-capped Fruit Bat,Acerodon_jubatus,3.2509,0.512,Pitnick 2006,518,2.714,Pitnick 2006,1,1,NA,Capellini 2015,NA,,NA,NA
3,Carnivora,Felidae,Cheetah,Acinonyx_jubatus,10.9901,1.041,Iossa 2008,43652,4.64,Iossa 2008,3.28,0.65,20.5,Capellini 2015,promiscuous,Iossa 2008; Soulsbury 2010,no,Heldstab 2019; Lukas 2019
4,Rodentia,Muridae,Northeast African Spiny Mouse,Acomys_cahirinus,0.224,-0.291,Breed 2000,27,1.878,Breed 2000,2.43,7.6,5.9,Capellini 2015,promiscuous,Sinervo 2020,no,Heldstab 2019; Lukas 2019
5,Rodentia,Muridae,Northeast African Spiny Mouse,Acomys_cahirinus,0.5117,-0.291,Ramm 2005,76,1.878,Ramm 2005,2.43,7.6,5.9,Capellini 2015,promiscuous,Sinervo 2020,no,Heldstab 2019; Lukas 2019
6,Diprotodontia,Acrobatidae,Feather-tailed Glider,Acrobates_pygmaeus,0.1778,-0.75,Birkhead 1998,12,1.09,Birkhead 1998,2.8,2,8.8,Capellini 2015,promiscuous,Pantheria,no,Lukas 2019
7,Artiodactyla,Bovidae,Addax,Addax_nasomaculatus,43.1519,1.635,Anderson 2004,84918,4.929,Anderson 2004,1,0.99,28,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
8,Artiodactyla,Bovidae,Impala,Aepyceros_melampus,28.9068,1.461,Anderson 2004,57544,4.76,Anderson 2004,0.98,0.95,25.6,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
9,Artiodactyla,Bovidae,Impala,Aepyceros_melampus,120,1.461,Gage 2003,62500,4.76,Gage 2003,0.98,0.95,25.6,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019; Lukas 2019
10,Diprotodontia,Potoroidae,Rufous Rat-kangaroo,Aepyprymnus_rufescens,4.6774,0.67,Birkhead 1998,2399,3.38,Birkhead 1998,1.03,3,12.8,Capellini 2015,NA,,NA,NA
11,Rodentia,Muridae,Red Veld Aethomys,Aethomys_chrysophilus,0.862,-0.064,Breed 2000,85,1.929,Breed 2000,3.09,NA,0.75,Capellini 2015; Myrhvold et al 2015,monogamous,Lukas 2012; Lukas 2013,NA,
12,Rodentia,Muridae,Hinde's Aethomys,Aethomys_hindei,2.768,NA,Breed 2000,143,NA,Breed 2000,2.05,NA,1.75,Capellini 2015; Myrhvold et al 2015,NA,NA,NA,
13,Rodentia,Muridae,Tete Veld Aethomys,Aethomys_ineptus,0.72,-0.143,Breed 2000,140,2.146,Breed 2000,3.345,2,0.75,Capellini 2015; Chimimba & Linzey 2008; Myrhvold et al 2015,NA,,NA,
14,Rodentia,Muridae,Namaqua Micaelamys,Aethomys_namaquensis,1.4757,0.169,Breed 2000,72,1.857,Breed 2000,3.49,2,4.7,Capellini 2015,NA,,no,Lukas 2019
15,Carnivora,Ursidae,Giant Panda,Ailuropoda_melanoleuca,306.9022,2.487,Iossa 2008,117761,5.071,Iossa 2008,1.62,0.7,36.8,Capellini 2015,promiscuous,Iossa 2008,no,Heldstab 2019
16,Rodentia,Cricetidae,Molina's Akodont,Akodon_molinae,0.4457,-0.351,Ramm 2005,41,1.618,Ramm 2005,3.77,3.9,NA,Capellini 2015; Myrhvold 2015,NA,,NA,NA
17,Artiodactyla,Bovidae,Hartebeest,Alcelaphus_buselaphus,107,2.029,Gage 2003,132000,5.204,Gage 2003,1,1.065,22.5,Capellini 2015; Myrhvold et al 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
18,Artiodactyla,Bovidae,Hartebeest,Alcelaphus_buselaphus,106.9055,2.029,Anderson 2004,159956,5.204,Anderson 2004,1,1.065,22.5,Capellini 2015; Myrhvold et al 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
19,Artiodactyla,Cervidae,Eurasian Elk,Alces_alces,106,2.025,Ginsberg 1990; Gage 2003,789000,5.897,Ginsberg 1990; Gage 2003,1.25,1.7,27,Capellini 2015,polygynous,Ginsberg 1990; Pantheria; Lukas 2012; Lukas 2013,no,Heldstab 2019; Lukas 2019
20,Primates,Cercopithecidae,Allen's Swamp Monkey,Allenopithecus_nigroviridis,16.9434,1.229,Harcourt 1995,5000,3.699,Harcourt 1995,1.01,NA,27,Capellini 2015,NA,,NA,NA
21,Primates,Atelidae,Mantled Howler,Alouatta_palliata,26.9153,1.43,Hayward 2011,7311,3.864,Hayward 2011,1.02,0.6,25,Capellini 2015,promiscuous,Kenagy 1986; Harcourt 1995,yes,Heldstab 2019
22,Rodentia,Sciuridae,White-tailed Antelope Squirrel,Ammospermophilus_leucurus,2.138,0.33,Hayward 2011,111.1,1.994,Hayward 2011,8,1.25,11.2,Capellini 2015,promiscuous,Waterman 2007; Sinervo 2020,no,Heldstab 2019
23,Artiodactyla,Bovidae,Barbary Sheep,Ammotragus_lervia,18.8365,1.275,Anderson 2004,68077,4.833,Anderson 2004,1.22,2,21.7,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
24,Rodentia,Muridae,Uneven-toothed Rat,Anisomys_imitator,4.167,0.62,Ramm 2007,508,2.706,Ramm 2007,NA,NA,NA,Capellini 2015,NA,,NA,
25,Chiroptera,Phyllostomidae,Handley's Tailless Bat,Anoura_cultrata,0.0991,-1.004,Pitnick 2006,17,1.233,Pitnick 2006,1.22,NA,NA,Capellini 2015,NA,,NA,NA
26,Chiroptera,Phyllostomidae,Geoffroy's Tailless Bat,Anoura_geoffroyi,0.05,-1.301,Pitnick 2006,15,1.179,Pitnick 2006,0.99,1,10,Capellini 2015,NA,,NA,NA
27,Dasyuromorphia,Dasyuridae,Yellow-footed Antechinus,Antechinus_flavipes,0.1641,-0.785,Birkhead 1998,50,1.697,Birkhead 1998,8.54,1,3.9,Capellini 2015,promiscuous,Rose 1997; Pantheria,NA,NA
28,Dasyuromorphia,Dasyuridae,Brown Antechinus,Antechinus_stuartii,0.3499,-0.456,Hayward 2011,39,1.591,Hayward 2011,6.89,1,5.4,Capellini 2015,promiscuous,Pantheria; Rose 1997,no,Heldstab 2019; Lukas 2019
29,Dasyuromorphia,Dasyuridae,Dusky Antechinus,Antechinus_swainsonii,0.3622,-0.441,Birkhead 1998,105,2.02,Birkhead 1998,8.24,1,3.3,Capellini 2015,promiscuous,Pantheria; Rose 1997,no,Lukas 2019
30,Artiodactyla,Bovidae,Springbok,Antidorcas_marsupialis,70.9578,1.851,Anderson 2004,40458,4.607,Anderson 2004,1,1,10,Capellini 2015,promiscuous,Anderson 2004; Ginsberg 1990,no,Heldstab 2019
31,Artiodactyla,Antilocapridae,Pronghorn,Antilocapra_americana,76.0326,1.881,Ginsberg 1990,61660,4.79,Ginsberg 1990,1.93,1,15.5,Capellini 2015,promiscuous,Soulsbury 2010; Ginsberg 1990; Lukas 2013; Lukas 2012,no,Heldstab 2019; Lukas 2019
32,Chiroptera,Vespertilionidae,Pallid Bat,Antrozous_pallidus,0.1698,-0.77,Ramm 2007,22,1.346,Ramm 2007,1.78,NA,14.8,Capellini 2015,NA,,no,Lukas 2019
33,Chiroptera,Vespertilionidae,Pallid Bat,Antrozous_pallidus,0.1812,-0.77,Gage 2003,23,1.346,Gage 2003,1.78,NA,14.8,Capellini 2015,NA,,no,Lukas 2019
34,Primates,Aotidae,Three-striped Night Monkey,Aotus_trivirgatus,1.2,0.079,Hayward 2011,1021,3.009,Hayward 2011,1.06,1.34,30.1,Capellini 2015; Myrhvold 2015,monogamous; polygynous,Pantheria; Kenagy 1986; Lukas 2013; Lukas 2012,yes,Heldstab 2019
35,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,0.9931,-0.003,Hayward 2011,22,1.338,Hayward 2011,5.64,3.5,4,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
36,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,1.232,-0.003,Breed 2000,35,1.338,Breed 2000,5.64,3.5,4,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
37,Rodentia,Muridae,Striped Field Mouse,Apodemus_agrarius,0.994,-0.003,Hayward 2011; Gage 2003; Soulsbury 2010,21.8,1.338,Hayward 2011; Gage 2003; Soulsbury 2010,5.64,3.5,4,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
38,Rodentia,Muridae,Small Japanese Field Mouse,Apodemus_argenteus,0.651,-0.207,Hayward 2011,21,1.322,Hayward 2011,4.12,3.8,5,Capellini 2015; Myrhvold et al 2015,promiscuous,Sinervo 2020,NA,
39,Rodentia,Muridae,Yellow-necked Field Mouse,Apodemus_flavicollis,0.891,-0.05,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,29.1,1.464,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,4.94,3,4.5,Capellini 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
40,Rodentia,Muridae,Taiwan Field Mouse,Apodemus_semotus,1.378,0.139,Breed 2000,28,1.447,Breed 2000,3.56,3.8,4.4,Capellini 2015; Myrhvold et al 2015,NA,,NA,
41,Rodentia,Muridae,Large Japanese Field Mouse,Apodemus_speciosus,1.233,0.091,Breed 2000,46,1.663,Breed 2000,4.47,NA,5.3,Capellini 2015,promiscuous,Sinervo 2020,NA,
42,Rodentia,Muridae,Long-tailed Field Mouse,Apodemus_sylvaticus,0.788,-0.103,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,23.1,1.364,Hayward 2011; Breed 2000; Gage 2003: Soulsbury 2010,5.16,3.75,6.3,Capellini 2015,promiscuous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Lukas 2019
43,Rodentia,Muridae,Herb Field Mouse,Apodemus_uralensis,0.326,-0.487,Hayward 2011; Soulsbury 2010,19.2,1.283,Hayward 2011; Soulsbury 2010,5.72,3.8,4.4,Capellini 2015; Myrhvold et al 2015,promiscuous,Soulsbury 2010; Sinervo 2020,NA,
44,Carnivora,Otariidae,Australasian Fur Seal,Arctocephalus_forsteri,28.9734,1.462,Fitzpatrick 2012,99770,4.999,Fitzpatrick 2012,1,1,15,Capellini 2015,polygynous,Pantheria,no,Lukas 2019
45,Carnivora,Otariidae,Brown Fur Seal,Arctocephalus_pusillus,44.157,1.645,Fitzpatrick 2012,125026,5.097,Fitzpatrick 2012,1,1,32.1,Capellini 2015,polygynous,Pantheria,no,Heldstab 2019; Lukas 2019
46,Carnivora,Otariidae,Subantarctic Fur Seal,Arctocephalus_tropicalis,28.9734,1.462,Fitzpatrick 2012,96605,4.985,Fitzpatrick 2012,1.4,1,23,Capellini 2015,polygynous,Pantheria,no,Heldstab 2019; Lukas 2019
47,Chiroptera,Phyllostomidae,Tree Bat,Ardops_nichollsi,0.0991,-1.004,Pitnick 2006,17,1.228,Pitnick 2006,0.99,2,NA,Capellini 2015,NA,,NA,NA
48,Chiroptera,Phyllostomidae,Jamaican Fruit-eating Bat,Artibeus_jamaicensis,0.0511,-1.292,Pitnick 2006,40,1.602,Pitnick 2006,1,2,19.2,Capellini 2015,polygynous,Hosken 2001; Soulsbury 2010,NA,NA
49,Chiroptera,Phyllostomidae,Great Fruit-eating Bat,Artibeus_lituratus,0.2291,-0.64,Pitnick 2006,79,1.898,Pitnick 2006,1,2,10.45,Capellini 2015; Myrhvold 2015,NA,,NA,NA
50,Rodentia,Cricetidae,Eurasian Water Vole,Arvicola_amphibius,2.1184,0.326,Hayward 2011,270,2.432,Hayward 2011,4.76,3.5,5,Capellini 2015,NA,,no,Heldstab 2019
51,Erinaceomorpha,Erinaceidae,Four-toed Hedgehog,Atelerix_albiventris,2.3388,0.369,Anderson 2004,520,2.716,Anderson 2004,3.98,1,11.4,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
52,Primates,Atelidae,Black-headed Spider Monkey,Ateles_fusciceps,9.0991,0.959,Moller 1988,4864,3.687,Moller 1988,1.01,0.5,46,Capellini 2015,promiscuous,Moller 1988,yes,Heldstab 2019
53,Primates,Atelidae,Geoffroy's Spider Monkey,Ateles_geoffroyi,13.3968,1.127,Hayward 2011,7943,3.9,Hayward 2011,1.01,0.32,48,Capellini 2015,promiscuous,Pantheria; Kenagy 1986; Moller 1988; Harcourt 1995,yes,Heldstab 2019
54,Rodentia,Sciuridae,Barbary Ground Squirrel,Atlantoxerus_getulus,6.46,NA,NA,221.1,NA,NA,2.9,1,5,van der Marel 2020,promiscuous,"van der Marel, pers. comm.",no,"van der Marel, pers. comm."
55,Primates,Indridae,Eastern Woolly Lemur,Avahi_laniger,2.0893,0.32,Harcourt 1995,1300,3.114,Harcourt 1995,1.01,1,NA,Capellini 2015,monogamous,Pantheria; Lukas 2013; Lukas 2012; Harcourt 1995,no,Heldstab 2019; Lukas 2019
56,Artiodactyla,Cervidae,Chital,Axis_axis,13.4586,1.129,Anderson 2004,54325,4.735,Anderson 2004,1.01,1,20.8,Capellini 2015,promiscuous,Anderson 2004,no,Heldstab 2019
57,Artiodactyla,Cervidae,Hog Deer,Axis_porcinus,49.4311,1.694,Anderson 2004,51523,4.712,Anderson 2004,1,1,22.9,Capellini 2015,polygynous,Anderson 2004; Pantheria; Lukas 2012; Lukas 2013,no,Heldstab 2019
58,Cetacea,Balaenidae,Bowhead,Balaena_mysticetus,162929.6033,5.212,Macleod 2010,51050500,7.708,Macleod 2010,1,0.41,211,Capellini 2015,NA,,NA,NA
59,Cetacea,Balaenopteridae,Common Minke Whale,Balaenoptera_acutorostrata,8790.2252,3.944,Dines 2015,11994993,7.079,Dines 2015,1,1,50,Capellini 2015,promiscuous,Skaugh 2008,NA,NA
60,Cetacea,Balaenopteridae,Sei Whale,Balaenoptera_borealis,16405.8977,4.215,Macleod 2010,17988709,7.255,Macleod 2010,1.02,0.41,74,Capellini 2015,NA,,NA,NA
61,Cetacea,Balaenopteridae,Bryde's Whale,Balaenoptera_edeni,19998.6187,4.301,Macleod 2010,17988709,7.255,Macleod 2010,0.97,0.5,72,Capellini 2015,NA,,NA,NA
62,Cetacea,Balaenopteridae,Blue Whale,Balaenoptera_musculus,69984.1996,4.845,Macleod 2010,106905488,8.029,Macleod 2010,1,0.45,110,Capellini 2015,NA,,NA,NA
63,Cetacea,Balaenopteridae,Fin Whale,Balaenoptera_physalus,1648.1624,3.217,Hayward 2011,38106582,7.581,Hayward 2011,1.01,0.37,116,Capellini 2015,NA,,NA,NA
64,Rodentia,Muridae,Lesser Bandicoot Rat,Bandicota_bengalensis,2.121,0.327,Breed 2000,289,2.461,Breed 2000,7.29,5.9,NA,Capellini 2015,NA,,NA,
65,Rodentia,Muridae,Greater Bandicoot Rat,Bandicota_indica,2.035,0.309,Hayward 2011; Breed 2000,613,2.787,Hayward 2011; Breed 2000,6.12,5.1228,4.2,Myrhvold 2015,NA,,NA,
66,Rodentia,Muridae,Savile's Bandicoot Rat,Bandicota_savilei,1.263,0.101,Breed 2000,274,2.438,Breed 2000,NA,NA,NA,NA,NA,,NA,
67,Rodentia,Bathyergidae,Cape Dune Mole-rat,Bathyergus_suillus,2.2029,0.343,Ramm 2005,750,2.875,Ramm 2005,2.89,1.5,1.5,Capellini 2015; Myrhvold 2015,NA,,no,Heldstab 2019
68,Rodentia,Muridae,Mindanao Batomys,Batomys_salomonseni,1.556,0.192,Breed 2000,194,2.288,Breed 2000,NA,NA,NA,NA,NA,,NA,
69,Cetacea,Ziphiidae,Baird's Beaked Whale,Berardius_bairdii,10000,4,Macleod 2010,11376273,7.056,Macleod 2010,0.98,0.33,84,Capellini 2015,NA,,NA,NA
70,Rodentia,Muridae,Bower's Berylmys,Berylmys_bowersi,14.431,1.159,Breed 2000,431,2.634,Breed 2000,3.88,NA,2.9,Capellini 2015,NA,,NA,
71,Diprotodontia,Potoroidae,Eastern Bettong,Bettongia_gaimardi,5.7412,0.759,Rose 1997,1683,3.226,Rose 1997,1,3.25,11.8,Capellini 2015,NA,,NA,NA
72,Diprotodontia,Potoroidae,Woylie,Bettongia_penicillata,1.6672,0.222,Birkhead 1998,873,2.941,Birkhead 1998,1,3,18.8,Capellini 2015,NA,,NA,NA
73,Artiodactyla,Bovidae,European Bison,Bison_bonasus,509.3309,2.707,Ginsberg 1990,674528,5.829,Ginsberg 1990,1,1,27,Capellini 2015,promiscuous,Ginsberg 1990,NA,NA
74,Artiodactyla,Bovidae,Aurochs,Bos_taurus,681,2.297,Gage 2003,630400,5.954,Gage 2003,1,1,20,Capellini 2015,polygynous,Anderson 2004; Lazo 1995; Bailey 2003,no,Heldstab 2019
75,Artiodactyla,Bovidae,Aurochs,Bos_taurus,198.1527,2.297,Anderson 2004,899498,5.954,Anderson 2004,1,1,20,Capellini 2015,polygynous,Anderson 2004; Lazo 1995; Bailey 2003,no,Heldstab 2019
76,Chiroptera,Phyllostomidae,Antillean Fruit-eating Bat,Brachyphylla_cavernarum,0.064,-1.194,Pitnick 2006,40,1.603,Pitnick 2006,1,1.5,NA,Capellini 2015,NA,,NA,NA
77,Artiodactyla,Bovidae,Takin,Budorcas_taxicolor,93.3254,1.97,Anderson 2004,250035,5.398,Anderson 2004,1.22,1,21.9,Capellini 2015,promiscuous,Anderson 2004,NA,NA
78,Rodentia,Muridae,Mindanao Bullimus,Bullimus_bagobus,4.08,0.611,Breed 2000,380,2.58,Breed 2000,NA,NA,NA,NA,NA,,NA,
79,Rodentia,Muridae,Andrew's Bunomys,Bunomys_andrewsi,0.4074,-0.39,Breed 2000,137,2.137,Breed 2000,NA,NA,NA,NA,NA,,NA,NA
80,Rodentia,Muridae,Common Bunomys,Bunomys_chrysocomus,3.523,0.547,Breed 2000,117,2.068,Breed 2000,NA,NA,NA,NA,NA,,NA,
81,Rodentia,Muridae,Northeastern Peninsula Bunomys,Bunomys_fratrorum,0.407,NA,Breed 2000,137,NA,Breed 2000,NA,NA,NA,NA,NA,NA,NA,
82,Diprotodontia,Burramyidae,Mountain Pygmy Possum,Burramys_parvus,0.0372,-1.429,Birkhead 1998,39,1.591,Birkhead 1998,3.6,1,12,Capellini 2015,NA,,NA,NA
83,Primates,Pitheciidae,Bald Uacari,Cacajao_calvus,5.7943,0.763,Harcourt 1995,3451,3.538,Harcourt 1995,1.01,0.5,35.8,Capellini 2015,promiscuous,Harcourt 1995,no,Heldstab 2019
84,Primates,Cebidae,White-headed Marmoset,Callithrix_geoffroyi,0.5495,-0.26,Anderson 2004,380,2.58,Anderson 2004,2,2,17.6,Capellini 2015; Myrhvold 2015,monogamous; polygynous,Lukas 2013; Lukas 2012,NA,NA
85,Primates,Cebidae,Common Marmoset,Callithrix_jacchus,1.3,0.114,Hayward 2011; Gage 2003,320,2.505,Hayward 2011; Gage 2003,2.31,2,22.8,Capellini 2015,monogamous,Kenagy 1986; Lukas 2013; Lukas 2012; Lupold 2014,yes,LH19; Held19
86,Carnivora,Otariidae,Northern Fur Seal,Callorhinus_ursinus,63.6,1.803,Hayward 2011,29000,4.462,Hayward 2011,1.04,0.5,30,Capellini 2015,polygynous,Ferguson 2004,no,Heldstab 2019; Lukas 2019
87,Rodentia,Sciuridae,Golden-mantled Ground Squirrel,Callospermophilus_lateralis,3.2509,0.512,Hayward 2011,187,2.273,Hayward 2011,NA,NA,NA,NA,promiscuous,Kenagy 1986; Waterman 2007,NA,NA
88,Rodentia,Sciuridae,Cascade golden-mantled ground squirrel,Callospermophilus_saturatus,2.3014,0.362,Hayward 2011,227,2.356,Hayward 2011,NA,NA,NA,NA,NA,,NA,NA
89,Rodentia,Cricetidae,Drylands Laucha,Calomys_musculinus,0.1977,-0.704,Ramm 2005,35,1.549,Ramm 2005,6.27,NA,1.583333333,Capellini 2015; Myrhvold 2015,NA,,NA,NA
90,Artiodactyla,Camelidae,One-humped Camel,Camelus_dromedarius,121.6186,2.085,Anderson 2004,799834,5.903,Anderson 2004,0.98,1,40,Capellini 2015,polygynous,Anderson 2004; Nowak 1983,no,Heldstab 2019
91,Carnivora,Canidae,Golden Jackal,Canis_aureus,13.3045,1.124,Iossa 2008,10000,4,Iossa 2008,3.74,1,18.8,Capellini 2015,monogamous; polygynous,Iossa 2008; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,Heldstab 2019
92,Carnivora,Canidae,Coyote,Canis_latrans,15.4,1.188,Soulsbury 2010,10600,4.025,Soulsbury 2010,5.72,1,21.8,Capellini 2015,monogamous,Iossa 2008; Soulsbury 2010; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,LH19; Held19
93,Carnivora,Canidae,Wolf,Canis_lupus,27.3527,1.437,Iossa 2008,32810,4.516,Iossa 2008,4.98,2,29.5,Capellini 2015,monogamous; polygynous,Iossa 2008; Pantheria; Lukas 2013; Lukas 2012; Ferguson 2004,yes,Heldstab 2019; Lukas 2019
94,Cetacea,Neobalaenidae,Pygmy Right Whale,Caperea_marginata,1901.0783,3.279,Macleod 2010,2897344,6.462,Macleod 2010,0.98,NA,NA,Capellini 2015,NA,,NA,NA
95,Artiodactyla,Bovidae,Markhor,Capra_falconeri,20.9411,1.321,Anderson 2004,38019,4.58,Anderson 2004,1.73,NA,19.1,Capellini 2015,promiscuous,Anderson 2004,NA,NA
96,Artiodactyla,Bovidae,Alpine Ibex,Capra_ibex,38.3707,1.584,Anderson 2004,74989,4.875,Anderson 2004,1.11,0.75,22.3,Capellini 2015,promiscuous,Anderson 2004,NA,NA
97,Artiodactyla,Cervidae,European Roe,Capreolus_capreolus,45,1.653,Hayward 2011; Soulsbury 2010,20500,4.31,Hayward 2011; Soulsbury 2010,1.79,1,17.5,Capellini 2015,polygynous,Soulsbury 2010; Kenagy 1986; Pantheria,no,Heldstab 2019; Lukas 2019
98,Artiodactyla,Bovidae,Japanese Serow,Capricornis_crispus,63.9735,1.806,Ginsberg 1990,119950,5.079,Ginsberg 1990,1,1,24,Capellini 2015,promiscuous,Ginsberg 1990; Lukas 2013,NA,NA
99,Chiroptera,Megadermatidae,Heart-nosed Bat,Cardioderma_cor,0.04,-1.398,Ramm 2007,29,1.462,Ramm 2007,1,2,NA,Capellini 2015,monogamous; polygynous,Hosken 2001; Pitnick 2006; Pantheria; Lukas 2013,NA,NA
100,Chiroptera,Phyllostomidae,Seba's Short-tailed Bat,Carollia_perspicillata,0.125,-0.903,Pitnick 2006,18,1.267,Pitnick 2006,1,2,17,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006; Pantheria,NA,NA
101,Rodentia,Castoridae,American Beaver,Castor_canadensis,9.3,0.968,Hayward 2011,19055,4.28,AWD,3.6,1,23.4,Capellini 2015,monogamous,Soulsbury 2010; Pantheria; Kenagy 1986; Lukas 2013; Lukas 2012,yes,Heldstab 2019
102,Rodentia,Castoridae,Eurasian Beaver,Castor_fiber,17.4181,1.241,Hayward 2011,18197,4.26,Hayward 2011,2.95,1,35,Capellini 2015,monogamous; polygynous,Lukas 2013; Lukas 2012; Waterman 2007,NA,NA
103,Rodentia,Caviidae,Brazilian Guinea Pig,Cavia_aperea,3.73,0.572,Soulsbury 2010,567,2.754,Soulsbury 2010,2.14,5,6,Capellini 2015,polygynous,Soulsbury 2010; Waterman 2007; Sinervo 2020,no,Heldstab 2019; Lukas 2019; Sinervo 2020
104,Rodentia,Caviidae,Domesticated Guinea Pig,Cavia_porcellus,4.1,0.613,Hayward 2011; Gage 2003,813,2.91,Hayward 2011; Gage 2003,3.45,5,14.8,Capellini 2015,polygynous,Sinervo 2020,no,Lukas 2019
105,Primates,Cebidae,Pygmy Marmoset,Cebuella_pygmaea,0.3304,-0.481,Harcourt 1995,130,2.114,Harcourt 1995,1.93,1.56,18.6,Capellini 2015; Myrhvold 2015,monogamous,Pantheria; Lukas 2012; Lukas 2013,yes,Heldstab 2019
106,Chiroptera,Phyllostomidae,Wrinkle-faced Bat,Centurio_senex,0.08,-1.097,Pitnick 2006,23,1.36,Pitnick 2006,0.99,NA,NA,Capellini 2015,NA,,NA,NA
107,Artiodactyla,Bovidae,Yellow-backed Duiker,Cephalophus_silvicultor,33.266,1.522,Anderson 2004,76560,4.884,Anderson 2004,1,1,22.5,Capellini 2015,polygynous,Anderson 2004; Pantheria; Lukas 2012; Lukas 2013,no,Heldstab 2019
108,Cetacea,Delphinidae,Commerson's Dolphin,Cephalorhynchus_commersonii,1218.9896,3.086,Macleod 2010,77983,4.892,Macleod 2010,0.98,NA,18,Capellini 2015,NA,,NA,NA
109,Cetacea,Delphinidae,Haviside's Dolphin,Cephalorhynchus_heavisidii,534.5644,2.728,Dines 2015,74473,4.872,Dines 2015,0.97,NA,NA,Capellini 2015,NA,,NA,NA
110,Cetacea,Delphinidae,Hector's Dolphin,Cephalorhynchus_hectori,887.156,2.948,Macleod 2010,41115,4.614,Macleod 2010,1,0.42,20,Capellini 2015,NA,,NA,NA
111,Diprotodontia,Burramyidae,Southwestern Pygmy Possum,Cercartetus_concinnus,0.0619,-1.208,Birkhead 1998,14,1.155,Birkhead 1998,4.6,1,8,Capellini 2015; Myrhvold 2015,NA,,NA,NA
112,Diprotodontia,Burramyidae,Eastern Pygmy Possum,Cercartetus_nanus,0.067,-1.174,Birkhead 1998,19,1.29,Birkhead 1998,3.96,2,10.3,Capellini 2015,NA,,NA,NA
113,Primates,Cercopithecidae,Sooty Mangabey,Cercocebus_atys,25.1189,1.4,Harcourt 1995,8690,3.939,Harcourt 1995,1.01,1,26.8,Capellini 2015; Myrhvold 2015,promiscuous,Lukas 2013; Harcourt 1995,no,Heldstab 2019; Lukas 2019
114,Primates,Cercopithecidae,Collared Mangabey,Cercocebus_torquatus,25.1189,1.4,Hayward 2011,8690,3.939,Hayward 2011,1.01,0.95,46,Capellini 2015; Myrhvold 2015,NA,,no,Lukas 2019
115,Primates,Cercopithecidae,Red-tailed Monkey,Cercopithecus_ascanius,2.9992,0.477,Harcourt 1995,5358,3.729,Harcourt 1995,1.01,0.52,31.2,Capellini 2015; Myrhvold 2015,promiscuous,Harcourt 1995,no,Heldstab 2019; Lukas 2019
116,Artiodactyla,Cervidae,White-lipped Deer,Cervus_albirostris,116.4126,2.066,Anderson 2004,215774,5.334,Anderson 2004,1,1,18,Capellini 2015,promiscuous,Anderson 2004,NA,NA
117,Artiodactyla,Cervidae,Red Deer (see comments,Cervus_elaphus,218,1.848,Gage 2003; Soulsbury 2010,122000,5.505,Gage 2003; Soulsbury 2010,1.09,0.91,31.5,Capellini 2015,promiscuous,Soulsbury 2010; Kenagy 1986,no,Heldstab 2019; Lukas 2019
118,Artiodactyla,Cervidae,Red Deer (see comments,Cervus_elaphus,70.4693,1.848,Anderson 2004,240867,5.505,Capellini 2015,1.09,0.91,31.5,Capellini 2015,promiscuous,Soulsbury 2010; Kenagy 1986,no,Heldstab 2019; Lukas 2019
119,Chiroptera,Molossidae,Little Free-tailed Bat,Chaerephon_pumilus,0.038,-1.42,Pitnick 2006,11,1.033,Pitnick 2006,1,3,5,Capellini 2015,polygynous,Hosken 2001; Pitnick 2006,NA,NA
120,Rodentia,Heteromyidae,Long-tailed Pocket Mouse,Chaetodipus_formosus,0.2099,-0.678,Hayward 2011,20,1.294,Hayward 2011,5.28,1,7.1,Capellini 2015,promiscuous,Waterman 2007,NA,NA
